"","Tax","TaxLevel","SP","value","Vari"
"333","CBDR_C",105,"Universal",26954.2721022005,"CO2_Effect"
"334","CBDR_C",120,"Universal",26672.0271995981,"CO2_Effect"
"335","CBDR_C",135,"Universal",26414.2210448963,"CO2_Effect"
"336","CBDR_C",150,"Universal",26176.8449421548,"CO2_Effect"
"337","CBDR_C",165,"Universal",25956.8342880167,"CO2_Effect"
"338","CBDR_C",180,"Universal",25751.7911024126,"CO2_Effect"
"339","CBDR_C",0,"Cash",30706.615004915,"CO2_Effect"
"340","CBDR_C",15,"Cash",29736.8586095518,"CO2_Effect"
"341","CBDR_C",30,"Cash",29038.5249149157,"CO2_Effect"
"342","CBDR_C",45,"Cash",28485.2763574608,"CO2_Effect"
"343","CBDR_C",60,"Cash",28024.6061152851,"CO2_Effect"
"344","CBDR_C",75,"Cash",27628.6737832843,"CO2_Effect"
"345","CBDR_C",90,"Cash",27280.7659119782,"CO2_Effect"
"346","CBDR_C",105,"Cash",26970.0188574621,"CO2_Effect"
"347","CBDR_C",120,"Cash",26688.9589494398,"CO2_Effect"
"348","CBDR_C",135,"Cash",26432.2177320508,"CO2_Effect"
"349","CBDR_C",150,"Cash",26195.8046260979,"CO2_Effect"
"350","CBDR_C",165,"Cash",25976.6692527433,"CO2_Effect"
"351","CBDR_C",180,"Cash",25772.4250205949,"CO2_Effect"
"352","CBDR_C",0,"SP_current",30706.615004915,"CO2_Effect"
"353","CBDR_C",15,"SP_current",29735.9014440647,"CO2_Effect"
"354","CBDR_C",30,"SP_current",29037.0119935485,"CO2_Effect"
"355","CBDR_C",45,"SP_current",28483.4280777203,"CO2_Effect"
"356","CBDR_C",60,"SP_current",28022.5607572506,"CO2_Effect"
"357","CBDR_C",75,"SP_current",27626.5241519721,"CO2_Effect"
"358","CBDR_C",90,"SP_current",27278.577013367,"CO2_Effect"
"359","CBDR_C",105,"SP_current",26967.8375919701,"CO2_Effect"
"360","CBDR_C",120,"SP_current",26686.8198826761,"CO2_Effect"
"361","CBDR_C",135,"SP_current",26430.1467367925,"CO2_Effect"
"362","CBDR_C",150,"SP_current",26193.8212843578,"CO2_Effect"
"363","CBDR_C",165,"SP_current",25974.7884959247,"CO2_Effect"
"364","CBDR_C",180,"SP_current",25770.6582812786,"CO2_Effect"
"365","CBDR_C",0,"SP_covid",30706.615004915,"CO2_Effect"
"366","CBDR_C",15,"SP_covid",29734.9383005157,"CO2_Effect"
"367","CBDR_C",30,"SP_covid",29035.3746550713,"CO2_Effect"
"368","CBDR_C",45,"SP_covid",28481.2885166991,"CO2_Effect"
"369","CBDR_C",60,"SP_covid",28020.0353747594,"CO2_Effect"
"370","CBDR_C",75,"SP_covid",27623.6967681022,"CO2_Effect"
"371","CBDR_C",90,"SP_covid",27275.5104228926,"CO2_Effect"
"372","CBDR_C",105,"SP_covid",26964.5802182498,"CO2_Effect"
"373","CBDR_C",120,"SP_covid",26683.4099248671,"CO2_Effect"
"374","CBDR_C",135,"SP_covid",26426.6148958179,"CO2_Effect"
"375","CBDR_C",150,"SP_covid",26190.1926262116,"CO2_Effect"
"376","CBDR_C",165,"SP_covid",25971.083764977,"CO2_Effect"
"377","CBDR_C",180,"SP_covid",25766.8948494166,"CO2_Effect"
"378","CBDR_C",0,"PerfectTargeted",30706.615004915,"CO2_Effect"
"379","CBDR_C",15,"PerfectTargeted",29751.6687882988,"CO2_Effect"
"380","CBDR_C",30,"PerfectTargeted",29057.7052576906,"CO2_Effect"
"381","CBDR_C",45,"PerfectTargeted",28509.0216601017,"CO2_Effect"
"382","CBDR_C",60,"PerfectTargeted",28049.7191228617,"CO2_Effect"
"383","CBDR_C",75,"PerfectTargeted",27655.6651318748,"CO2_Effect"
"384","CBDR_C",90,"PerfectTargeted",27308.2410965853,"CO2_Effect"
"385","CBDR_C",105,"PerfectTargeted",26999.2041735672,"CO2_Effect"
"386","CBDR_C",120,"PerfectTargeted",26717.9484708302,"CO2_Effect"
"387","CBDR_C",135,"PerfectTargeted",26459.9999303779,"CO2_Effect"
"388","CBDR_C",150,"PerfectTargeted",26226.2013199801,"CO2_Effect"
"389","CBDR_C",165,"PerfectTargeted",26005.7840806847,"CO2_Effect"
"390","CBDR_C",180,"PerfectTargeted",25802.8110042702,"CO2_Effect"
"391","Luxury&CBDR_C",0,"Null",30706.615004915,"CO2_Effect"
"392","Luxury&CBDR_C",15,"Null",29622.8015848554,"CO2_Effect"
"393","Luxury&CBDR_C",30,"Null",28786.5943210876,"CO2_Effect"
