"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap"
"MHL",0.0722391366752485,0.96351891515537,0.0325645245937101,0.0722391366752485,0.96351891515537,0.0325645245937101
"MKD",-59.0515591196564,-59.0515591196564,-59.0515591196564,-61.320040703511,-61.320040703511,-61.320040703511
"MLI",378.817899220121,307.255017087331,103.876296873917,378.817899220121,307.255017087331,103.876296873917
"MLT",-9.70469409054598,-9.70469409054598,-9.70469409054598,-11.9648858993804,-11.9648858993804,-11.9648858993804
"MMR",147.616344091255,886.001907260241,20.2560856723518,147.616344091255,886.001907260241,20.2560856723518
"MNE",-9.6826067338272,-9.6826067338272,-9.6826067338272,-17.8686125685515,-17.8686125685515,-17.8686125685515
"MNG",3.01364748757982,51.6802514216976,0.863934422517138,3.01364748757982,51.6802514216976,0.863934422517138
"MOZ",2558.86551533353,475.49411994072,1718.76724614904,2558.86551533353,475.49411994072,1718.76724614904
"MRT",38.4879175874963,71.0789926912289,16.352292318713,38.4879175874963,71.0789926912289,16.352292318713
"MUS",0.174848943299506,20.9890711221018,0.255141261104149,0.174848943299506,20.9890711221018,0.255141261104149
"MWI",1605.13672964302,293.276233613181,1803.90887527551,1605.13672964302,293.276233613181,1803.90887527551
"MYS",0,516.251071294887,0,0,516.251071294887,0
"NAM",51.8221704669696,39.876883304693,43.4565277634701,51.8221704669696,39.876883304693,43.4565277634701
"NER",1511.32424351184,358.539773147389,524.598102013689,1511.32424351184,358.539773147389,524.598102013689
"NGA",8154.71731866392,3167.96692473469,13328.2029067023,8154.71731866392,3167.96692473469,13328.2029067023
"NIC",34.428666331634,105.970699202407,9.10987195226859,34.428666331634,105.970699202407,9.10987195226859
"NLD",-1090.61225097455,-1090.61225097455,-1090.61225097455,-1226.08591141326,-1226.08591141326,-1226.08591141326
"NOR",-245.517862960396,-245.517862960396,-245.517862960396,-296.918102890439,-296.918102890439,-296.918102890439
"NPL",313.28691888741,458.62594152711,69.151712515375,313.28691888741,458.62594152711,69.151712515375
"NRU",0.0204736799526055,0.175548887492435,0.0211469678112964,0.0204736799526055,0.175548887492435,0.0211469678112964
"PAK",1408.53911439417,3450.66690633153,563.113207917258,1408.53911439417,3450.66690633153,563.113207917258
"PAN",5.67812718816312,68.1609011434229,5.00551371712197,5.67812718816312,68.1609011434229,5.00551371712197
"PER",195.640967143677,521.888220424458,212.670260509231,195.640967143677,521.888220424458,212.670260509231
"PHL",436.245098711758,1745.57901823577,181.238615948648,436.245098711758,1745.57901823577,181.238615948648
"PNG",347.433379132681,140.04804609236,328.740697484876,347.433379132681,140.04804609236,328.740697484876
"POL",-2586.04998416979,-2586.04998416979,-2586.04998416979,-2462.71978564865,-2462.71978564865,-2462.71978564865
"PRT",-244.12642833091,-244.12642833091,-244.12642833091,-419.794338769252,-419.794338769252,-419.794338769252
"PRY",9.49458715730756,113.974131818666,7.13294823384262,9.49458715730756,113.974131818666,7.13294823384262
"ROU",-794.779367987515,-794.779367987515,-794.779367987515,-584.154067618881,-584.154067618881,-584.154067618881
"RUS",-10804.1169021424,-10804.1169021424,-10804.1169021424,-12551.7168647928,-12551.7168647928,-12551.7168647928
"RWA",861.391004023442,198.850732636037,594.04607664132,861.391004023442,198.850732636037,594.04607664132
"SDN",863.375171259992,677.38929882632,391.146974457115,863.375171259992,677.38929882632,391.146974457115
"SEN",198.268854624517,255.918544062781,67.5256663895785,198.268854624517,255.918544062781,67.5256663895785
"SLB",23.3918519944084,10.5563353419508,18.7525222151558,23.3918519944084,10.5563353419508,18.7525222151558
"SLE",270.231814799115,124.287135191294,72.5481229659962,270.231814799115,124.287135191294,72.5481229659962
"SLV",19.4312790422498,106.025154709627,12.9010365923027,19.4312790422498,106.025154709627,12.9010365923027
"SOM",1426.1172068432,242.139707402248,876.314764405332,1426.1172068432,242.139707402248,876.314764405332
"SRB",-257.732583073204,-257.732583073204,-257.732583073204,-372.643228559193,-372.643228559193,-372.643228559193
"SSD",1015.25700424941,181.088610889798,1622.39981903364,1015.25700424941,181.088610889798,1622.39981903364
"STP",4.46663750131538,3.43705369341576,2.26605463807549,4.46663750131538,3.43705369341576,2.26605463807549
"SUR",22.0861395228162,9.46873554536464,108.205581057883,22.0861395228162,9.46873554536464,108.205581057883
"SVK",-361.612421688151,-361.612421688151,-361.612421688151,-264.329536481081,-264.329536481081,-264.329536481081
"SVN",-79.4656595904678,-79.4656595904678,-79.4656595904678,-111.147493190757,-111.147493190757,-111.147493190757
"SWE",-461.913011517669,-461.913011517669,-461.913011517669,-301.404932756777,-301.404932756777,-301.404932756777
"SWZ",56.1423992696215,18.6686955698772,113.414506817429,56.1423992696215,18.6686955698772,113.414506817429
"SYC",0.0662576111136551,1.59072818605819,0.111126665040484,0.0662576111136551,1.59072818605819,0.111126665040484
"SYR",26.0006470407384,283.740727416934,6.84362062129039,26.0006470407384,283.740727416934,6.84362062129039
"TCD",641.564194676989,249.236615986555,226.009920126687,641.564194676989,249.236615986555,226.009920126687
"TGO",299.100025546366,127.773366473217,168.373516887172,299.100025546366,127.773366473217,168.373516887172
"THA",0,1148.69115797533,0,0,1148.69115797533,0
"TJK",74.8964745487928,147.387871715274,19.4711862422074,74.8964745487928,147.387871715274,19.4711862422074
"TKM",270.664208638491,95.5613157229751,191.566829097666,270.664208638491,95.5613157229751,191.566829097666
"TLS",13.7517294063271,20.6346704986145,3.12835009581194,13.7517294063271,20.6346704986145,3.12835009581194
"TON",0.155133911369564,1.69295051734929,0.0897920866413201,0.155133911369564,1.69295051734929,0.0897920866413201
"TUN",1.58081923290399,189.763384807954,0.704794645488442,1.58081923290399,189.763384807954,0.704794645488442
"TUR",-1042.36218329045,-1042.36218329045,-1042.36218329045,-3273.81318089967,-3273.81318089967,-3273.81318089967
"TUV",0.0565688449047731,0.188627503673209,0.0361939823372611,0.0565688449047731,0.188627503673209,0.0361939823372611
"TZA",3393.31423927538,907.210244370114,1845.71926021052,3393.31423927538,907.210244370114,1845.71926021052
"UGA",2430.40202300363,683.251274015263,1468.49242214698,2430.40202300363,683.251274015263,1468.49242214698
