"","Tax","TaxLevel","SP","value","Vari"
"341","Luxury&CBDR_C",100,"Null",26180.9316801171,"CO2_Effect"
"342","Luxury&CBDR_C",0,"Universal",30706.615004915,"CO2_Effect"
"343","Luxury&CBDR_C",10,"Universal",30077.1750020257,"CO2_Effect"
"344","Luxury&CBDR_C",20,"Universal",29573.2933827411,"CO2_Effect"
"345","Luxury&CBDR_C",30,"Universal",29149.3281243982,"CO2_Effect"
"346","Luxury&CBDR_C",40,"Universal",28781.899189942,"CO2_Effect"
"347","Luxury&CBDR_C",50,"Universal",28456.9412439512,"CO2_Effect"
"348","Luxury&CBDR_C",60,"Universal",28165.20694829,"CO2_Effect"
"349","Luxury&CBDR_C",70,"Universal",27900.248777096,"CO2_Effect"
"350","Luxury&CBDR_C",80,"Universal",27657.3753841112,"CO2_Effect"
"351","Luxury&CBDR_C",90,"Universal",27433.0592698611,"CO2_Effect"
"352","Luxury&CBDR_C",100,"Universal",27224.5773378798,"CO2_Effect"
"353","Luxury&CBDR_C",0,"Cash",30706.615004915,"CO2_Effect"
"354","Luxury&CBDR_C",10,"Cash",30080.0363951134,"CO2_Effect"
"355","Luxury&CBDR_C",20,"Cash",29578.754980221,"CO2_Effect"
"356","Luxury&CBDR_C",30,"Cash",29157.206261514,"CO2_Effect"
"357","Luxury&CBDR_C",40,"Cash",28792.0507523603,"CO2_Effect"
"358","Luxury&CBDR_C",50,"Cash",28469.2497915521,"CO2_Effect"
"359","Luxury&CBDR_C",60,"Cash",28179.5752977322,"CO2_Effect"
"360","Luxury&CBDR_C",70,"Cash",27916.5943519666,"CO2_Effect"
"361","Luxury&CBDR_C",80,"Cash",27675.6270392931,"CO2_Effect"
"362","Luxury&CBDR_C",90,"Cash",27453.1550066831,"CO2_Effect"
"363","Luxury&CBDR_C",100,"Cash",27246.4626015465,"CO2_Effect"
"364","Luxury&CBDR_C",0,"SP_current",30706.615004915,"CO2_Effect"
"365","Luxury&CBDR_C",10,"SP_current",30079.2566860798,"CO2_Effect"
"366","Luxury&CBDR_C",20,"SP_current",29577.3052334003,"CO2_Effect"
"367","Luxury&CBDR_C",30,"SP_current",29155.16124256,"CO2_Effect"
"368","Luxury&CBDR_C",40,"SP_current",28789.4669886061,"CO2_Effect"
"369","Luxury&CBDR_C",50,"SP_current",28466.1718888959,"CO2_Effect"
"370","Luxury&CBDR_C",60,"SP_current",28176.0393760971,"CO2_Effect"
"371","Luxury&CBDR_C",70,"SP_current",27912.6302021005,"CO2_Effect"
"372","Luxury&CBDR_C",80,"SP_current",27671.2595837887,"CO2_Effect"
"373","Luxury&CBDR_C",90,"SP_current",27448.4053382242,"CO2_Effect"
"374","Luxury&CBDR_C",100,"SP_current",27241.3487460014,"CO2_Effect"
"375","Luxury&CBDR_C",0,"SP_covid",30706.615004915,"CO2_Effect"
"376","Luxury&CBDR_C",10,"SP_covid",30078.5261373376,"CO2_Effect"
"377","Luxury&CBDR_C",20,"SP_covid",29575.9357619477,"CO2_Effect"
"378","Luxury&CBDR_C",30,"SP_covid",29153.2179803556,"CO2_Effect"
"379","Luxury&CBDR_C",40,"SP_covid",28787.0006704576,"CO2_Effect"
