"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap"
"SLV",19.7989935421031,106.025154709627,16.7080648169516,19.7989935421031,106.025154709627,16.7080648169516
"SOM",1113.90169458321,242.139707402248,511.62442502478,1113.90169458321,242.139707402248,511.62442502478
"SRB",-257.732583073204,-257.732583073204,-257.732583073204,-372.643228559193,-372.643228559193,-372.643228559193
"SSD",1056.25418565275,181.088610889798,2143.46979835396,1056.25418565275,181.088610889798,2143.46979835396
"STP",4.68191233369454,3.43705369341576,2.98664149737274,4.68191233369454,3.43705369341576,2.98664149737274
"SUR",5.97186108507342,9.46873554536464,10.3128772064624,5.97186108507342,9.46873554536464,10.3128772064624
"SVK",-361.612421688151,-361.612421688151,-361.612421688151,-264.329536481081,-264.329536481081,-264.329536481081
"SVN",-79.4656595904678,-79.4656595904678,-79.4656595904678,-111.147493190757,-111.147493190757,-111.147493190757
"SWE",-461.913011517669,-461.913011517669,-461.913011517669,-301.404932756777,-301.404932756777,-301.404932756777
"SWZ",58.3532421507788,18.6686955698772,155.029867840477,58.3532421507788,18.6686955698772,155.029867840477
"SYC",0.070421717505913,1.59072818605819,0.165478487010072,0.070421717505913,1.59072818605819,0.165478487010072
"SYR",14.9947021355496,283.740727416934,4.73332928877458,14.9947021355496,283.740727416934,4.73332928877458
"TCD",666.832641322319,249.236615986555,289.962241285166,666.832641322319,249.236615986555,289.962241285166
"TGO",314.758011955353,127.773366473217,241.634245953447,314.758011955353,127.773366473217,241.634245953447
"THA",3.69468165289707,1148.69115797533,1.52795807152283,3.69468165289707,1148.69115797533,1.52795807152283
"TJK",78.0748389540908,147.387871715274,24.5639630906358,78.0748389540908,147.387871715274,24.5639630906358
"TKM",1.90412864715477,95.5613157229751,0.404425226367635,1.90412864715477,95.5613157229751,0.404425226367635
"TLS",43.6958052226601,20.6346704986145,22.9557090264406,43.6958052226601,20.6346704986145,22.9557090264406
"TON",0.262682114381421,1.69295051734929,0.213861167349584,0.262682114381421,1.69295051734929,0.213861167349584
"TUN",2.30259559057481,189.763384807954,1.45033010964765,2.30259559057481,189.763384807954,1.45033010964765
"TUR",-1042.36218329045,-1042.36218329045,-1042.36218329045,-3273.81318089967,-3273.81318089967,-3273.81318089967
"TUV",0.0592436096037535,0.188627503673209,0.0478816355481862,0.0592436096037535,0.188627503673209,0.0478816355481862
"TZA",3532.78680401158,907.210244370114,2719.60121698802,3532.78680401158,907.210244370114,2719.60121698802
"UGA",2537.08439093525,683.251274015263,1978.66736734919,2537.08439093525,683.251274015263,1978.66736734919
"UKR",-2829.50680828902,-2829.50680828902,-2829.50680828902,-1377.0639438909,-1377.0639438909,-1377.0639438909
"URY",0.327846609462109,57.0387828738244,0.103071047552519,0.327846609462109,57.0387828738244,0.103071047552519
"USA",-38762.9593385084,-38762.9593385084,-38762.9593385084,-37936.3251859278,-37936.3251859278,-37936.3251859278
"UZB",380.483773388488,537.561000041362,271.304337405632,380.483773388488,537.561000041362,271.304337405632
"VEN",523.814090979261,487.999683607694,1473.72592204384,523.814090979261,487.999683607694,1473.72592204384
"VNM",167.505727388987,1570.10850285705,92.1861502311162,167.505727388987,1570.10850285705,92.1861502311162
"VUT",4.09007377910419,4.73849218400329,2.64921350557518,4.09007377910419,4.73849218400329,2.64921350557518
"WSM",0.3230999059495,3.24240139574049,0.165225395277084,0.3230999059495,3.24240139574049,0.165225395277084
"YEM",792.566726102405,461.980722758079,457.457745103415,792.566726102405,461.980722758079,457.457745103415
"ZAF",1679.83725192491,946.203872957431,3957.17168653148,1679.83725192491,946.203872957431,3957.17168653148
"ZMB",1473.22489338702,279.723185651282,1814.00165068321,1473.22489338702,279.723185651282,1814.00165068321
"ZWE",700.214386206035,236.288088883986,507.816410410625,700.214386206035,236.288088883986,507.816410410625
